
央视频道,#genre#

CCTV1,http://114.242.62.109:888/hls/1/index.m3u8
CCTV2,http://114.242.62.109:888/hls/2/index.m3u8
CCTV3,http://114.242.62.109:888/hls/3/index.m3u8
CCTV4,http://114.242.62.109:888/hls/4/index.m3u8
CCTV5,http://114.242.62.109:888/hls/5/index.m3u8
CCTV6,http://114.242.62.109:888/hls/6/index.m3u8
CCTV7,http://114.242.62.109:888/hls/7/index.m3u8
CCTV8,http://114.242.62.109:888/hls/8/index.m3u8
CCTV9,http://114.242.62.109:888/hls/9/index.m3u8
CCTV10,http://114.242.62.109:888/hls/10/index.m3u8
CCTV11,http://114.242.62.109:888/hls/11/index.m3u8
CCTV12,http://114.242.62.109:888/hls/12/index.m3u8
CCTV13,http://114.242.62.109:888/hls/13/index.m3u8
CCTV14,http://114.242.62.109:888/hls/14/index.m3u8
CCTV15,http://114.242.62.109:888/hls/15/index.m3u8
CCTV16,http://123.175.210.230:9003/hls/17/index.m3u8?key=txiptv
CCTV17,http://123.175.210.230:9003/hls/18/index.m3u8?key=txiptv
CCTV5+,http://114.242.62.109:888/hls/16/index.m3u8

CCTV1,http://123.175.210.230:9003/hls/1/index.m3u8?key=txiptv
CCTV2,http://123.175.210.230:9003/hls/2/index.m3u8?key=txiptv
CCTV3,http://123.175.210.230:9003/hls/3/index.m3u8?key=txiptv
CCTV4,http://123.175.210.230:9003/hls/4/index.m3u8?key=txiptv
CCTV5,http://123.175.210.230:9003/hls/5/index.m3u8?key=txiptv
CCTV5+,http://123.175.210.230:9003/hls/6/index.m3u8?key=txiptv
CCTV6,http://123.175.210.230:9003/hls/7/index.m3u8?key=txiptv
CCTV7,http://123.175.210.230:9003/hls/8/index.m3u8?key=txiptv
CCTV8,http://123.175.210.230:9003/hls/9/index.m3u8?key=txiptv
CCTV9,http://123.175.210.230:9003/hls/10/index.m3u8?key=txiptv
CCTV10,http://123.175.210.230:9003/hls/11/index.m3u8?key=txiptv
CCTV12,http://123.175.210.230:9003/hls/13/index.m3u8?key=txiptv
CCTV13,http://123.175.210.230:9003/hls/14/index.m3u8?key=txiptv
CCTV14,http://123.175.210.230:9003/hls/15/index.m3u8?key=txiptv
CCTV16,http://123.175.210.230:9003/hls/17/index.m3u8?key=txiptv
CCTV17,http://123.175.210.230:9003/hls/18/index.m3u8?key=txiptv
台奥-新闻,#genre#


TVB 無線新聞 News H265 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/3.ts
TVB 無線新聞台 4K (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/8.ts
TVB 無線新聞直播台 4K (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/9.ts
TVB 無線新聞台 CH083 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/13.ts
鳳凰資訊 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/17.ts


HOY 資訊台 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/22.ts
HOY 香港國際財經IBC (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/23.ts
Now 新聞台 CH332 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/29.ts
Now 財經台 CH333 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/30.ts
鳳凰資訊台 CH611 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/88.ts
中天新闻 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/161.ts
东森新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/162.ts

TVBS 新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/163.ts
三立新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/166.ts
台视新闻 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/174.ts
民视新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/164.ts
中视新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/168.ts
华视新闻信息台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/169.ts
寰宇新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/170.ts
寰宇新闻台湾台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/171.ts
年代新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/165.ts
壹电视新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/172.ts
镜电视新闻 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/173.ts
非凡新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/167.ts
三立财经新闻 iNEWS (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/370.ts
SBN 全球财经台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/371.ts
东森财经新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/369.ts
寰宇财经台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/379.ts
台视财经台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/373.ts
非凡商业台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/372.ts
CNN国际新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/382.ts
CNN头条新闻台(HLN) (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/383.ts
BBC World NEWS (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/384.ts
FRANCE24 英文台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/386.ts
VOA美国之音 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/389.ts
半岛国际新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/385.ts
CNBC Asia 财经台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/390.ts
彭博Bloomberg TV (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/387.ts
AI 倪珍播新闻 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/368.ts
CCTV-13 (CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/487.ts
CCTV-13 1080P (CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/546.ts
上海第一财经 (CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/588.ts
CGTN (CN),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/579.ts
TVB NEWS (美),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/444.ts
美国旧金山 KTSF-26,http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/467.ts
加拿大600新闻 (加),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/449.ts
TVB 无线新闻海外台,http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/454.ts
东森美洲新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/471.ts
TVB 娱乐新闻台 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/670.ts
凤凰资讯 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/747.ts
Aljazeera (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/752.ts
Bloomberg TV (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/756.ts
BBC World News (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/751.ts
CGTN (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/760.ts
CNA亚洲新闻 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/754.ts
CNN (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/750.ts
CNBC (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/755.ts
DW English (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/758.ts
France 24 (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/759.ts
SkyNews (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/753.ts
ABC Australia (MY),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/757.ts
CNN (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/874.ts
日テレNEWS24 (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/871.ts
BBCワールドニュース (JP),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/873.ts
pro源-体育,#genre#
Fight Sports CH642 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/108.ts
Now 668 (粵) CH668 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/112.ts
Now 668 (國) CH668 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/113.ts
TVB 88 跑馬台 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/136.ts
HKC 有線18台 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/122.ts
HKC 有線18台(低延時) (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/123.ts
TVB myTV SUPER 18台 CH018 (HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/51.ts
ELTA 爱尔达体育1台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/257.ts
ELTA 爱尔达体育2台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/258.ts
ELTA 爱尔达体育3台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/259.ts
ELTA 爱尔达体育4台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/260.ts
ELTA 爱尔达体育 MAX1台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/261.ts
ELTA 爱尔达体育 MAX2台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/262.ts
ELTA 爱尔达体育 MAX3台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/263.ts
ELTA 爱尔达体育 MAX4台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/264.ts
博斯无限1台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/270.ts
博斯无限2台 (TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/45789034/271.ts
